instnm,Control of institution,Undergraduate offering,Carnegie Classification 2010: Undergraduate Instructional Program,Carnegie Classification 2010: Basic,Carnegie Classification 2010: Undergraduate Profile,Carnegie Classification 2010: Enrollment Profile,Carnegie Classification 2010: Size and Setting,Longitude location of institution,Latitude location of institution,Average net price (income 75-001-110-000)-students receiving Title IV Federal financial aid-2010-11,Average net price (income over 110-000)-students receiving Title IV Federal financial aid- 2010-11,percent graduates Computer and Information Sciences and Support Services,To Visit
Bayamon Central University,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Master's Colleges and Universities (medium programs),Medium full-time four-year- selective- lower transfer-in,High undergraduate,Small four-year- primarily nonresidential,-66.181495999999996,18.400541,,,0.02,
Columbia Centro Universitario-Caguas,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Master's Colleges and Universities (smaller programs),Higher part-time four-year,Very high undergraduate,Very small four-year- primarily nonresidential,-66.028097000000002,18.226299999999998,,,,
Carlos Albizu University-San Juan,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Other health professions schools,Not applicable- special focus institution,Majority graduate/professional,Not applicable- special focus institution,-66.113907999999995,18.466573,,,,
Caribbean University-Bayamon,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Master's Colleges and Universities (medium programs),Full-time four-year- inclusive,Very high undergraduate,Small four-year- primarily nonresidential,-66.190706000000006,18.340603000000002,,,0.050000000000000003,
Caribbean University-Carolina,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Master's Colleges and Universities (smaller programs),Medium full-time four-year- inclusive,High undergraduate,Very small four-year- primarily nonresidential,-65.957650000000001,18.387460000000001,,,0.0,
Pontifical Catholic University of Puerto Rico-Arecibo,Private not-for-profit,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Master's Colleges and Universities (smaller programs),Full-time four-year- inclusive,Majority undergraduate,Very small four-year- primarily nonresidential,-66.679113999999998,18.446006000000001,,,,
Pontifical Catholic University of Puerto Rico,Private not-for-profit,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Doctoral/Research Universities,Full-time four-year- inclusive,Majority undergraduate,Medium four-year- primarily nonresidential,-66.611334999999997,18.002867000000002,9414.0,9926.0,,
Centro de Estudios Multidisciplinarios-San Juan,Private not-for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private Not-for-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-66.010873000000004,18.390309999999999,,,,
Universidad Teologica del Caribe,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,Exclusively undergraduate four-year,Not applicable- special focus institution,-66.014482999999998,18.370604,,,,
Colegio Universitario de San Juan,Public,Undergraduate degree or certificate offering,Associates Dominant,Baccalaureate/Associate's Colleges,Medium full-time four-year- inclusive,Exclusively undergraduate four-year,Small four-year- primarily nonresidential,-66.066529000000003,18.428528,,,0.059999999999999998,
Universidad Metropolitana,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Master's Colleges and Universities (larger programs),Full-time four-year- inclusive,High undergraduate,Large four-year- primarily nonresidential,-66.061042,18.386651999999998,11359.0,8792.0,0.0,
Puerto Rico Conservatory of Music,Public,Undergraduate degree or certificate offering,Not applicable- special focus institution,Schools of art- music- and design,Not applicable- special focus institution,Very high undergraduate,Not applicable- special focus institution,-66.068376000000001,18.4206,,,,
Center for Advanced Studies On Puerto Rico & the Caribbean,Private not-for-profit,No undergraduate offering,Not applicable- special focus institution,Other special-focus institutions,Not applicable- special focus institution,Exclusively graduate/professional,Not applicable- special focus institution,-66.118261000000004,18.465889999999998,,,,
EDP College of Puerto Rico Inc-San Sebastian,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Higher part-time four-year,Exclusively undergraduate four-year,Very small four-year- primarily nonresidential,-66.990909000000002,18.334857999999997,,,0.16,
Emma's Beauty Academy-Mayaguez,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-67.140996999999999,18.199825000000001,,,,
Escuela de Artes Plasticas de Puerto Rico,Public,Undergraduate degree or certificate offering,Not applicable- special focus institution,Schools of art- music- and design,Not applicable- special focus institution,Exclusively undergraduate four-year,Not applicable- special focus institution,-66.111462000000003,18.467401000000002,,,,
Instituto Tecnologico de Puerto Rico- Recinto de Manati,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Small,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-66.457031999999998,18.439399999999999,,,,
Sistema Universitario Ana G. Mendez,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-66.061042,18.386651999999998,,,,
Huertas Junior College,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-66.031483999999992,18.219116,,,,
Humacao Community College,Private not-for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private Not-for-profit,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-65.826368000000002,18.148339,,,,
ICPR Junior College-Arecibo,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-66.758262999999999,18.475297000000001,,,,
ICPR Junior College-Mayaguez,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Medium full-time two-year,Exclusively undergraduate two-year,Very small two-year,-67.141965999999996,18.201649,6498.0,,,
Instituto de Educacion Tecnica Ocupacional La Reine-Manati,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-66.490994000000001,18.429556999999999,,,,
Hispanic American College,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-66.042556000000005,18.238415,,,,
Instituto de Banca y Comercio Inc,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-66.111142000000001,18.402881000000001,,,,
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Small,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-66.106560999999999,17.976064999999998,,,,
Instituto Tecnologico de Puerto Rico-Recinto de Ponce,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Small,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-66.629202000000006,17.998197000000001,,,,
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Single Campus,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-66.016987,18.412233999999998,,,,
Inter American University of Puerto Rico-San German,Private not-for-profit,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Master's Colleges and Universities (medium programs),Full-time four-year- inclusive,High undergraduate,Medium four-year- primarily nonresidential,-67.053807999999989,18.083957000000002,10111.0,,0.029999999999999999,
Inter American University of Puerto Rico-Aguadilla,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Master's Colleges and Universities (smaller programs),Full-time four-year- inclusive,Very high undergraduate,Medium four-year- primarily nonresidential,-67.121670999999992,18.467886,,,0.089999999999999997,
