instnm,Control of institution,Undergraduate offering,Carnegie Classification 2010: Undergraduate Instructional Program,Carnegie Classification 2010: Basic,Carnegie Classification 2010: Undergraduate Profile,Carnegie Classification 2010: Enrollment Profile,Carnegie Classification 2010: Size and Setting,Longitude location of institution,Latitude location of institution,Average net price (income 75-001-110-000)-students receiving Title IV Federal financial aid-2010-11,Average net price (income over 110-000)-students receiving Title IV Federal financial aid- 2010-11,percent graduates Computer and Information Sciences and Support Services,To Visit
Carnegie Career College,Private not-for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private Not-for-profit,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-81.345585999999997,41.023274000000001,7530.0,,,
Paul Mitchell The School Gastonia,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-81.179107999999999,35.254224999999998,18889.0,18889.0,,
CES College,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-118.30298799999998,34.180807999999999,,,,
Computer Tutor Business and Technical Institute,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-121.071547,37.702154,,,,
Court Reporting Institute of Louisiana,Private for-profit,Undergraduate degree or certificate offering,Not classified,Associate's--Private For-profit,Higher part-time two-year,Very high undergraduate,Very small two-year,-91.048394999999999,30.431296999999997,,,,
Auguste Escoffier School of Culinary Arts-Austin,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-97.717872,30.326459999999997,25874.0,25874.0,,
Culinary Institute Inc,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Medium full-time two-year,Exclusively undergraduate two-year,Very small two-year,-95.378632999999994,29.823622999999998,30326.0,30326.0,,
Dade Medical College-Miami,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-80.251347999999993,25.779312000000001,23515.0,22662.0,,
Escuela Hotelera de San Juan,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-66.046964000000003,18.417009,,,,
Expertise Cosmetology Institute,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-115.16483400000001,36.193798000000001,,,,
Paul Mitchell the School-Monroe,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-89.661121999999992,42.602153999999999,,,,
Hawaii Technology Institute,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-157.860668,21.300265,,,,
Healing Arts Institute,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-83.598721999999995,41.556146000000005,,,,
Health Works Institute,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-111.040745,45.677787000000002,,,,
In Session Arts of Cosmetology Beauty School,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-84.055876999999995,43.416221999999998,,,,
Moore Career College,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-91.126081999999997,30.407042999999998,,,,
Industrial Technical College,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-65.828598,18.149301000000001,,,,
Institute of Beauty Occupation and Technology Course,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-67.110123000000002,18.387280000000001,,,,
Institute of Clinical Acupuncture & Oriental Med,Private for-profit,No undergraduate offering,Not applicable- special focus institution,Other health professions schools,Not applicable- special focus institution,Exclusively graduate/professional,Not applicable- special focus institution,-157.86087900000001,21.313924,,,,
Institute of Hair Design,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-96.91335500000001,35.349119999999999,,,,
Medtech Institute,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-84.474339000000001,33.899003999999998,,,,
Jones International University,Private for-profit,Undergraduate degree or certificate offering,Professions focus- high graduate coexistence,Master's Colleges and Universities (larger programs),Higher part-time four-year,Majority graduate/professional,Small four-year- primarily nonresidential,-104.87594900000001,39.574653999999995,,19608.0,,
Leston College,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-66.165278000000001,18.407083,,,,
Lynndale Fundamentals of Beauty LLC,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-92.644379999999998,33.224401,,,,
Medical Professional Institute,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-71.078341000000009,42.426704000000001,,,,
New Life Theological Seminary,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,High undergraduate,Not applicable- special focus institution,-80.802526999999998,35.242998999999998,,,,
Nightingale College-School of Nursing-School of Massage Therapy,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-111.949018,41.187882000000002,,,,
Omnitech Institute,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-84.227423999999999,33.748871999999999,,,,
Princeton Information Technology Center,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-75.151593000000005,40.102781999999998,,,,
Skinworks School of Advanced Skincare,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-111.88417700000001,40.724924999999999,14997.0,14997.0,,
Southeastern Institute-Columbia,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-81.092306000000008,34.028112999999998,25727.0,,,
Technical Learning Centers Inc,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-77.040471999999994,38.901293000000003,25998.0,,,
Total Look School of Cosmetology & Massage Therapy,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-92.120780000000011,43.382674000000002,,,,
The Art Institute of Tucson,Private for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Schools of art- music- and design,Not applicable- special focus institution,Exclusively undergraduate four-year,Not applicable- special focus institution,-110.88481200000001,32.251546999999995,31703.0,33189.0,0.080000000000000002,
Turning Point Beauty College,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-111.733429,32.880828999999999,,,,
Unitech Training Academy-Lafayette,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-92.069556999999989,30.176115999999997,,,,
Mountwest Community and Technical College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,-82.429183999999992,38.420217999999998,,,,
Centura College-Columbia,Private for-profit,Undergraduate degree or certificate offering,Not classified,Associate's--Private For-profit,Higher full-time two-year,Very high undergraduate,Very small two-year,-80.944896999999997,34.074692999999996,,,,
Flagler College-Tallahassee,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- inclusive,Exclusively undergraduate four-year,Very small four-year- primarily nonresidential,-84.341098000000002,30.444664000000003,,,,
Montgomery County Community College-West Campus,Public,Undergraduate degree or certificate offering,Not classified,Associate's--Public Suburban-serving Multicampus,Mixed part/full-time two-year,Very high undergraduate,Small two-year,-75.655775000000006,40.244509999999998,,,,
Kanawha Valley Community and Technical College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Small,Higher part-time two-year,Exclusively undergraduate two-year,Small two-year,-81.765403000000006,38.382571999999996,,,,
American InterContinental University-Online,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Master's Colleges and Universities (larger programs),Full-time four-year- inclusive,Very high undergraduate,Large four-year- primarily nonresidential,-88.217737,42.064729999999997,23975.0,24186.0,0.14000000000000001,
Westwood College-Atlanta Midtown,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Baccalaureate/Associate's Colleges,Full-time four-year- inclusive,Exclusively undergraduate four-year,Very small four-year- primarily nonresidential,-84.389870000000002,33.784754,25354.0,,0.25,
ITT Technical Institute-Eden Prairie,Private for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Other technology-related schools,Not applicable- special focus institution,Exclusively undergraduate four-year,Not applicable- special focus institution,-93.442674999999994,44.840994000000002,26622.0,26697.0,0.5,
Virginia College-Mobile,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-88.136461999999995,30.675883000000002,,,,
Le Cordon Bleu College of Culinary Arts-Las Vegas,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-115.312552,36.188062000000002,28977.0,29263.0,,
International Academy of Design and Technology-Troy,Private for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Schools of art- music- and design,Not applicable- special focus institution,Exclusively undergraduate four-year,Not applicable- special focus institution,-83.118548000000004,42.550609999999999,22078.0,21634.0,0.0,
American InterContinental University-Houston,Private for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Schools of business and management,Not applicable- special focus institution,High undergraduate,Not applicable- special focus institution,-95.548309000000003,29.728221000000001,,,0.14999999999999999,
Sanford-Brown College-Houston North Loop,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-95.443892000000005,29.806683000000003,23518.0,23518.0,,
University of California-Merced,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-120.424944,37.366236999999998,,,,
Everest College-Fort Worth,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-97.301259999999999,32.838196999999994,26603.0,,,
Remington College-North Houston Campus,Private not-for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-95.424917000000008,29.946669,23096.0,23191.0,,
Paul Mitchell the School-Orlando,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-81.321635000000001,28.633029999999998,,,,
Regency Beauty Institute-Maplewood,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-93.016493000000011,45.032097999999998,,,,
Pima Medical Institute-Las Vegas,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-115.10223799999999,36.114105000000002,20946.0,,,
Remington College-Nashville Campus,Private not-for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-86.66562900000001,36.152337000000003,23284.0,,,
Platt College-North OKC,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit 4-year Primarily Associate's,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-97.563750999999996,35.611128000000001,,26668.0,,
Central Methodist University-College of Graduate & Extended Studies,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Medium full-time four-year- inclusive,Very high undergraduate,Very small four-year- primarily nonresidential,-92.686156000000011,39.150383000000005,,,0.02,
Westwood College-Northlake,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Baccalaureate/Associate's Colleges,Full-time four-year- inclusive,Exclusively undergraduate four-year,Very small four-year- primarily nonresidential,-84.248125999999999,33.853351000000004,27020.0,27370.0,0.25,
University of Phoenix-Jersey City Campus,Private for-profit,Undergraduate degree or certificate offering,Professions plus arts & sciences- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- inclusive,Exclusively undergraduate four-year,Very small four-year- primarily nonresidential,-74.033131000000012,40.726762999999998,,25586.0,0.13,
University of Phoenix-Minneapolis/St Paul Campus,Private for-profit,Undergraduate degree or certificate offering,Professions focus- high graduate coexistence,Master's Colleges and Universities (smaller programs),Full-time four-year- inclusive,High undergraduate,Very small four-year- primarily nonresidential,-93.404826999999997,44.975163999999999,28392.0,,0.02,
Kaplan College-Fort Worth,Private for-profit,Undergraduate degree or certificate offering,Not classified,Associate's--Private For-profit,Higher full-time two-year,Very high undergraduate,Small two-year,-97.288868999999991,32.748284999999996,22699.0,22699.0,,
Kaplan College-Midland,Private for-profit,Undergraduate degree or certificate offering,Not classified,Associate's--Private For-profit,Higher full-time two-year,Very high undergraduate,Very small two-year,-102.131917,31.988977000000002,25475.0,25475.0,,
Kaplan College-Lubbock,Private for-profit,Undergraduate degree or certificate offering,Not classified,Associate's--Private For-profit,Higher full-time two-year,Very high undergraduate,Very small two-year,-101.85088399999999,33.586940999999996,25729.0,25729.0,,
Carrington College California-Emeryville,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-122.29364699999999,37.841369,21505.0,22782.0,,
North-West College-Riverside,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-117.450704,33.908275000000003,,,,
Everest Institute-Chelsea,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-71.039656999999991,42.393440000000005,,20483.0,,
Everest Institute-Eagan,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-93.139690000000002,44.858767,,28719.0,,
University of Phoenix-Louisville Campus,Private for-profit,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- inclusive,High undergraduate,Very small four-year- primarily nonresidential,-85.563612000000006,38.223942999999998,,,0.050000000000000003,
DeVry University-Minnesota,Private for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Schools of business and management,Not applicable- special focus institution,High undergraduate,Not applicable- special focus institution,-93.328959999999995,44.862878000000002,,31710.0,0.12,
Kaplan University-Council Bluffs Campus,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Associate's--Private For-profit 4-year Primarily Associate's,Medium full-time four-year- inclusive,Exclusively undergraduate four-year,Very small four-year- primarily nonresidential,-95.825931000000011,41.244415000000004,,,,
Everest University-Orange Park,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Baccalaureate/Associate's Colleges,Medium full-time four-year- inclusive,Exclusively undergraduate four-year,Small four-year- primarily nonresidential,-81.706673999999992,30.188758,26280.0,,,
Wyotech-West Sacramento,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-121.565592,38.585760999999998,32347.0,32347.0,,
Everest Institute-Bissonnet,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-95.545007999999996,29.677344000000002,22668.0,,,
Everest College-McLean,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-77.234302999999997,38.932344999999998,,30163.0,,
Brio Academy of Cosmetology-New Haven,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-72.931499000000002,41.347475000000003,22344.0,,,
Colegio Tecnico de Electricidad Galloza,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-67.199517,18.382123,,,,
Empire Beauty School-St Paul,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-93.019755000000004,44.950693000000001,,,,
Arthur's Beauty School Inc-Pine Bluff,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-91.974673999999993,34.22157,,,,
Arthur's Beauty School Inc-Conway,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-92.445990000000009,35.109134000000005,,,,
Vatterott College-St Charles,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-90.550318999999988,38.790728000000001,,24325.0,,
Anthem Institute-North Brunswick,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-74.444265000000001,40.467137999999998,17514.0,18865.0,,
Anthem Career College-Memphis,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-89.867133999999993,35.166981999999997,19361.0,,,
Anthem College-Kansas City,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-94.607613999999998,38.96611,,,,
Spa Tech Institute-Westbrook,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-70.335255000000004,43.676459000000001,,,,
